y_pm25,x_aod,sensor_type
37.0,147.0,reference grade
35.0,280.0,reference grade
3.9,109.0,low-cost sensor
176.9,297.0,low-cost sensor
12.2,233.0,low-cost sensor
132.0,1333.0,low-cost sensor
41.5,178.0,low-cost sensor
320.4,1595.0,low-cost sensor
91.0,915.0,low-cost sensor
33.2,183.0,low-cost sensor
65.0,50.0,reference grade
42.0,930.0,reference grade
14.2,195.0,reference grade
21.0,101.0,reference grade
22.7,6.0,low-cost sensor
328.9,1268.0,low-cost sensor
24.0,206.0,reference grade
9.0,119.0,low-cost sensor
26.3,195.0,low-cost sensor
32.9,58.0,low-cost sensor
58.0,384.0,reference grade
114.4,1204.0,low-cost sensor
29.5,223.0,low-cost sensor
37.5,237.0,low-cost sensor
57.6,370.0,reference grade
54.6,88.0,low-cost sensor
14.1,0.0,low-cost sensor
32.3,559.0,reference grade
191.1,1228.0,low-cost sensor
271.4,1335.0,low-cost sensor
47.0,588.0,reference grade
6.2,99.0,low-cost sensor
95.0,1368.0,reference grade
43.0,282.0,reference grade
46.9,123.0,low-cost sensor
36.4,195.0,low-cost sensor
47.8,263.0,low-cost sensor
28.0,463.0,reference grade
49.0,499.0,reference grade
31.5,367.0,reference grade
35.7,106.0,low-cost sensor
20.2,52.0,reference grade
22.1,190.0,low-cost sensor
40.0,358.0,reference grade
58.9,491.0,low-cost sensor
13.0,202.0,reference grade
14.0,118.0,reference grade
28.0,85.0,reference grade
40.6,232.0,reference grade
114.3,580.0,low-cost sensor
52.0,707.0,reference grade
43.1,434.0,low-cost sensor
58.4,475.0,low-cost sensor
26.9,71.0,low-cost sensor
18.1,95.0,low-cost sensor
104.4,951.0,low-cost sensor
20.0,237.0,low-cost sensor
38.3,214.0,reference grade
18.0,0.0,low-cost sensor
32.3,216.0,low-cost sensor
0.6,118.0,low-cost sensor
26.0,81.0,low-cost sensor
35.0,196.0,reference grade
13.5,50.0,low-cost sensor
68.0,317.0,reference grade
35.7,193.0,low-cost sensor
29.0,55.0,reference grade
42.0,238.0,low-cost sensor
70.7,931.0,reference grade
39.4,157.0,reference grade
36.2,85.0,low-cost sensor
50.2,272.0,low-cost sensor
49.2,219.0,low-cost sensor
14.6,123.0,reference grade
204.6,1134.0,low-cost sensor
36.0,340.0,reference grade
140.0,506.0,reference grade
28.3,65.0,low-cost sensor
80.1,692.0,reference grade
33.3,135.0,low-cost sensor
25.5,162.0,reference grade
42.6,528.0,reference grade
49.1,168.0,low-cost sensor
14.0,128.0,reference grade
52.3,597.0,low-cost sensor
117.8,1196.0,reference grade
21.0,67.0,reference grade
111.1,1011.0,reference grade
168.6,662.0,low-cost sensor
22.8,50.0,reference grade
11.2,72.0,low-cost sensor
22.0,289.0,reference grade
44.7,47.0,low-cost sensor
36.0,264.0,reference grade
45.3,175.0,low-cost sensor
58.0,563.0,reference grade
30.0,64.0,low-cost sensor
29.6,152.0,low-cost sensor
52.4,654.0,reference grade
53.0,404.0,reference grade
36.5,349.0,reference grade
45.5,478.0,reference grade
3.6,50.0,low-cost sensor
163.2,702.0,reference grade
26.9,24.0,low-cost sensor
104.0,980.0,reference grade
38.0,247.0,reference grade
34.6,106.0,reference grade
23.9,200.0,low-cost sensor
57.0,436.0,reference grade
15.3,0.0,low-cost sensor
26.2,72.0,low-cost sensor
22.0,69.0,reference grade
37.0,164.0,reference grade
41.0,334.0,reference grade
25.4,158.0,low-cost sensor
49.5,459.0,low-cost sensor
58.3,456.0,low-cost sensor
13.5,63.0,low-cost sensor
3.9,181.0,low-cost sensor
62.0,596.0,reference grade
102.0,511.0,reference grade
30.2,66.0,low-cost sensor
11.6,149.0,reference grade
18.0,46.0,reference grade
32.7,45.0,low-cost sensor
49.5,558.0,reference grade
18.1,194.0,reference grade
15.0,151.0,reference grade
24.0,198.0,reference grade
21.0,138.0,reference grade
38.0,212.0,reference grade
9.3,104.0,low-cost sensor
32.0,185.0,reference grade
19.2,37.0,reference grade
40.1,172.0,low-cost sensor
87.0,338.0,low-cost sensor
51.3,321.0,low-cost sensor
27.6,300.0,low-cost sensor
13.0,57.0,reference grade
52.5,410.0,low-cost sensor
166.4,1093.0,low-cost sensor
12.0,123.0,reference grade
99.0,788.0,low-cost sensor
41.7,235.0,reference grade
214.7,197.0,low-cost sensor
39.7,172.0,low-cost sensor
24.2,127.0,low-cost sensor
45.5,348.0,reference grade
11.8,72.0,low-cost sensor
42.6,234.0,reference grade
54.9,182.0,low-cost sensor
39.0,150.0,reference grade
39.9,91.0,low-cost sensor
26.5,104.0,low-cost sensor
25.0,133.0,reference grade
59.9,332.0,reference grade
15.1,44.0,low-cost sensor
35.0,119.0,reference grade
13.0,224.0,reference grade
22.0,81.0,low-cost sensor
38.7,69.0,low-cost sensor
97.0,631.0,reference grade
268.5,1687.0,low-cost sensor
96.1,336.0,low-cost sensor
30.0,392.0,reference grade
20.0,357.0,reference grade
35.0,383.0,reference grade
28.2,263.0,low-cost sensor
76.4,570.0,reference grade
17.0,3.0,low-cost sensor
253.2,1108.0,low-cost sensor
24.2,65.0,reference grade
30.0,102.0,reference grade
322.0,1358.0,reference grade
67.4,545.0,low-cost sensor
36.4,152.0,low-cost sensor
4.5,379.0,low-cost sensor
23.9,236.0,low-cost sensor
12.2,23.0,low-cost sensor
198.8,1391.0,reference grade
40.4,119.0,low-cost sensor
30.0,394.0,reference grade
29.9,222.0,low-cost sensor
24.0,446.0,reference grade
57.4,366.0,low-cost sensor
22.0,72.0,reference grade
38.5,257.0,low-cost sensor
13.0,147.0,reference grade
37.3,590.0,low-cost sensor
